droga,tokens_composicion,cantidad_productos,marcas_ejemplo,conflicto_existente,atc,clases_terapeuticas
"levodopa, carbidopa, entacapona",carbidopa + entacapona + levodopa,8,"STALEVO 100, STALEVO 125, STALEVO 150",,,
mometasona furoato,mometasona furoato,8,"FENISONA, METASON NASAL MINI, NASONEX MINI",,,
nicotina,nicotina,8,"NICOTINELL GUMS, NICOTINELL LOZENGE, NICOTINELL TTS 10",,,
solifenacina,solifenacina,8,"SOLFACINA, SOLICINA, SOLIFENACINA TEVA","clases en disputa: {'Aparato Genito-Urinario: Antiespasmódicos Antiinflamatorios': 8, 'Aparato Genito-Urinario: Tratamiento de la Cistitis Intersticial': 4, 'Aparato Genito-Urinario: Tratamiento de la Vejiga Hiperactiva': 2}",,
tofacitinib,tofacitinib,8,"JANVAX, KLAXON, MODISMUNE","clases en disputa: {'Aparato Locomotor: Antiartrósicos': 5, 'Aparato Locomotor: Antirreumáticos Antiartríticos': 1}",,
"ezetimibe, simvastatin",ezetimibe + simvastatin,7,"COLEFLUX DUO, REDUSTEROL DUO",,,
insulina aspártica,insulina aspartica,7,"DENSURAPID, INSULINA FIASP FLEXTOUCH100 UI LAPIC.X 5 X, INSULINA FIASP PENFILL",,,
insulina glargina,insulina glargina,7,"BASALOG, INSULINA BASAGLAR KWIKPEN, INSULINA DENSULENT",,,
iodopovidona,iodopovidona,7,"ASEPLUS IODOPOVIDONA, DG-6 POVIDONA IODO, IODOMED","clases en disputa: {'Piel y Mucosas: Antisépticos Desinfectantes': 5, 'Otorrinolaringológicos: Productos de Uso Bucofaríngeo\nPiel y Mucosas: Antisépticos Desinfectantes\nPiel y Mucosas: Higiene Capilar': 7, 'Oftálmicos: Antiinfecciosos': 1}",,
ketoconazol,ketoconazol,7,"EUMICEL, EUMICEL COLAGENO, FITONAL","atc en disputa: {'D01AC08': 7, 'J02AB02': 1, 'G01AF11': 1} | clases en disputa: {'Piel y Mucosas: Antimicóticos Tópicos': 6, 'Antiinfecciosos de Uso Sistémico: Antimicóticos': 1, 'Aparato Genito-Urinario: Antimicóticos de Acción Local': 1, 'Piel y Mucosas: Antiseborreicos Productos Anticaspa': 1}",,
"levonorgestrel, etinilestradio",etinilestradio + levonorgestrel,7,"ANUBIS, CRETRADIOL, DOS DIAS N",,,
"paracetamol, pseudoefedrina, asoc.",asoc. + paracetamol + pseudoefedrina,7,"PARACETAMOL GRIP NF, PREDUAL, PULMONIX GRIP JARABE",,,
pemetrexed,pemetrexed,7,"EKEL, MARTXEL, PEMETREXED GP PHARM","clases en disputa: {'Oncológicos y Terapias Relacionadas: Citostáticos Antineoplásicos': 5, 'Oncológicos y Terapias Relacionadas: Otros Agentes Antineoplásicos': 1}",,
"salicílico,ác., asoc.",ac. + asoc. + salicilico,7,"ACNOXIN, CALLICIDA LAURIA FORTE, RATI SALIL FLEX",,,
"sodio,cloruro, asoc.",asoc. + cloruro + sodio,7,"COLIRIA LAGRIMAS, SALES P/REHIDRAT.ORAL OSM, SALES PARA REHIDRATACION",,,
tobramicina,tobramicina,7,"BELBARMICINA INL, TOBI, TOBI PODHALER","clases en disputa: {'Antiinfecciosos de Uso Sistémico: Antibióticos: Aminoglucósidos': 1, 'Antiinfecciosos de Uso Sistémico: Antibióticos: Otros': 1, 'Aparato Respiratorio: Tratamiento de la Fibrosis Quística': 2, 'Aparato Respiratorio: Antibióticos: Aminoglucósidos': 2, 'Oftálmicos: Antiinfecciosos': 1}",,
vit.d,vit.d,7,"DENURIX, GALFEROL 2400, GALFEROL 400",,,
antígeno hepatitis a,antigeno hepatitis a,6,"AVAXIM, AVAXIM 80 U PEDIATRICO, HAVRIX 1440 EL.U. ADULTOS",,,
biperideno,biperideno,6,"AKINETON, BIPERIDENO ROSPAW, BIPERIDENO VANNIER",,,
"condroitín,sulfato, glucosamin",condroitin + glucosamin + sulfato,6,"ASOTREX, GLUCO ARRUMALON DUO, GLUCOTRIN FORTE LIQUIDO",,,
congorosa,congorosa,6,NATUACID,,,
"diclofenac potásico, pridinol",diclofenac potasico + pridinol,6,"ALGICLER FLEX, DICLOMAR FLEX POTASICO, RODINAC FLEX K",,,
eplerenona,eplerenona,6,"ALDACTONE EP 25 MG, ALDACTONE EP 50 MG, LANX EP 25 MG","clases en disputa: {'Aparato Circulatorio: Tratamiento Insuficiencia Cardíaca Congestiva': 2, 'Aparato Circulatorio: Antihipertensivos': 11}",,
fingolimod,fingolimod,6,"BIOMONAR, EMULIMOD, FINGLID","clases en disputa: {'Oncológicos y Terapias Relacionadas: Otros Agentes Antineoplásicos': 4, 'Sistema Nervioso Central: Tratamiento de la Esclerosis': 1}",,
fluticasona,fluticasona,6,"DEXALERGIN CORT, FLIXONASE ACUOSO NASAL, FLUTICORT","atc en disputa: {'D07AC17': 13, 'R01AD12': 2} | clases en disputa: {'Aparato Respiratorio: Broncodilatadores Antiasmáticos': 9, 'Otorrinolaringológicos: Descongestivos Nasales Antialérgicos': 6}",,
glimepiride,glimepiride,6,"DIABUTIL 2 MG, DIABUTIL 4 MG, HIPOGLUT 2",,,
hidroclorotiazida,hidroclorotiazida,6,"DIURAL, DIUREX, KLORTIAZIDA","atc en disputa: {'C03AA03': 1, 'C09CA01': 3} | clases en disputa: {'Aparato Genito-Urinario: Diuréticos': 1, 'Aparato Circulatorio: Antihipertensivos': 3}",,
"hioscina,n-butilbr., paracetam",hioscina + n-butilbr. + paracetam,6,"BUSCAPINA COMPOSITUM N dispenser, BUSCAPINA DUO, TAFIROL ESPASMO",,,
