droga,tokens_composicion,cantidad_productos,marcas_ejemplo,conflicto_existente,atc,clases_terapeuticas
levonorgestrel,levonorgestrel,2,"SECUFEM 1.5 MG, SEGURITE UD","clases en disputa: {'Aparato Genito-Urinario: Anticonceptivos Anovulatorios': 2, 'Aparato Genito-Urinario: Anticonceptivos Anovulatorios\nHormonoterápicos: Progestagenoterapia': 3, 'Dispositivos Especiales: Dispositivos Intrauterinos Preservativos': 1}",,
"lidocaína, prilocaína",lidocaina + prilocaina,2,"EMLA, LIDOPRIL",,,
linezolid,linezolid,2,"ZYVOX IV, ZYVOX ORAL",,,
lomustina,lomustina,2,LOMUSTINA ECZANE,,,
"magnesio, vit.c",magnesio + vit.c,2,TOTAL MAGNESIANO VITAMINA,,,
"mebendazol, tinidazol",mebendazol + tinidazol,2,MEBUTAR COMPUESTO,,,
"melatonina, asoc.",asoc. + melatonina,2,MELATOL PLUS,,,
"memantine, donepecilo",donepecilo + memantine,2,LUCIDEX COMPLEX XR SPRINK,"atc en disputa: {'N06DA52': 11, 'N06DX01': 4} | clases en disputa: {'Sistema Nervioso Central: Antipsicótico': 9, 'Sistema Nervioso Central: Tratamiento de la Enfermedad de Alzheimer': 6}",,
menotropina,menotropina,2,MERIOFERT,,,
mercaptopurina,mercaptopurina,2,"PURINETHOL, VARIMER",,,
"metilo,salicilato, asoc.",asoc. + metilo + salicilato,2,"ATOMO DESINFLAMANTE FORTE, RATI SALIL GEL",,,
mifepristona,mifepristona,2,"FEMPRO, MIFEP",,,
"naproxeno, carisoprodol",carisoprodol + naproxeno,2,NAPRUX DISTEN,,,
natalizumab,natalizumab,2,"TYSABRI, TYSABRI SC",,,
"neomicina, asoc.",asoc. + neomicina,2,"NEOBITIOL PIE, NEOBITIOL ROLL-ON",,,
"noretisterona, etinilestradiol",etinilestradiol + noretisterona,2,"PRIMOSISTON, UNIMEX",,,
ocrelizumab,ocrelizumab,2,"OCREVUS, OCREVUS SC",,,
"olmesartan, hidroclorotiazida",hidroclorotiazida + olmesartan,2,OLTUX D,,,
olopatadine,olopatadine,2,"PATANOL S LDMO LDPE, ZOLOATLAS",,,
palivizumab,palivizumab,2,SYNAGIS,,,
"pancreatina, dimetilpolisiloxa",dimetilpolisiloxa + pancreatina,2,PANKREOFLAT AD,,,
"paracetamol, asoc.",asoc. + paracetamol,2,"FABOGESIC ALIV FORTE, TAFIROL FEM",,,
pasireotida,pasireotida,2,SIGNIFOR LAR,,,
peginterferón beta 1 a,peginterferon beta 1 a,2,PLEGRIDY,,,
penicilina g benzatínica,penicilina g benzatinica,2,PEN DI BEN,,,
"piroxicam, asoc.",asoc. + piroxicam,2,PIROXICAM RELAX,,,
"piroxicam, dexametasona, asoc.",asoc. + dexametasona + piroxicam,2,FLEXICAMIN B12,,,
podofilox,podofilox,2,PODOXIN,,,
polatuzumab vedotina,polatuzumab vedotina,2,POLIVY,,,
poliestiren sulfonato cálcico,poliestiren sulfonato calcico,2,R.I.C.CALCIO,,,
poractant alfa,poractant alfa,2,"CUROSURF 120, CUROSURF 240",,,
posaconazol,posaconazol,2,"POSACONAZOL SDZ, POSACONAZOL VARIFARMA",,,
"propinox, clonixinato de lisin",clonixinato de lisin + propinox,2,SERTAL COMPUESTO VL,,,
ramucirumab,ramucirumab,2,"CYRAMZA 100 MG, CYRAMZA 500 MG",,,
relugolix,relugolix,2,"BOCIPAL, GORAX",,,
remifentanilo,remifentanilo,2,"REMIFAS, REMIFENTANILO GRAY",,,
resinas neutras,resinas neutras,2,ADHESOL BIOL,,,
ribociclib,ribociclib,2,KISQALI,,,
"rosuvastatina, candesartan, hi",candesartan + hi + rosuvastatina,2,POLILEP,,,
rupatadina,rupatadina,2,RUPALER,,,
"rutina, ajo,extr.",ajo + extr. + rutina,2,VARISEDAN,,,
"salbutamol, beclometasona",beclometasona + salbutamol,2,"BUTOCORT HFA, SALBUTRAL PLUS",,,
"sapropterina,diclorh.",diclorh. + sapropterina,2,KUVAN POLVO,,,
siponimod,siponimod,2,MAYZENT,,,
"sodio,bicarbonato, asoc.",asoc. + bicarbonato + sodio,2,"UVASAL LIMON, UVASAL NARANJA",,,
"sodio,cloruro, xilitol",cloruro + sodio + xilitol,2,"XYLISOL, XYLISOL LAVAJE NASAL",,,
solución parenteral fisiol/glucos,solucion parenteral fisiol/glucos,2,SOLUC.PARENT.PARENTGLASS,,,
tarlatamab,tarlatamab,2,IMDELLTRA,,,
"timolol,maleato",maleato + timolol,2,"TIMODER HYDROGEL, TIMOPTIC XE",,,
"tiotropio,bromuro",bromuro + tiotropio,2,"ASPIRE, NEUMOTROPIO",,,
"toxoide tetán., diftér., pertu",difter. + pertu + toxoide tetan.,2,"ADACEL, BOOSTAGEN 2",,,
trabectedina,trabectedina,2,"LIPECELTE, YONDELIS",,,
trametinib,trametinib,2,MEKINIST,,,
"trimebutina, simeticona",simeticona + trimebutina,2,BIORGAN S,"clases en disputa: {'Aparato Digestivo: Antiespasmódicos Anticolinérgicos\nAparato Digestivo: Antiflatulentos': 6, 'Aparato Digestivo: Antidiarreicos Reconstituyentes de la Flora\nAparato Digestivo: Antiflatulentos': 2, 'Aparato Digestivo: Antiespasmódicos Anticolinérgicos\nAparato Digestivo: Digestivos Antidispépticos': 2}",,
"trospio,cloruro",cloruro + trospio,2,"SPASMEX 15, SPASMEX 30",,,
vacuna polimicrob.polimicót.,vacuna polimicrob.polimicot.,2,"SUMMAVAC M, SUMMAVAC P",,,
vaselina líquida,vaselina liquida,2,VASELINA LIQUIDA EXTRA DEFrambuesa,,,
venetoclax,venetoclax,2,VENCLEXTA,,,
vincristina,vincristina,2,"VINCRISTINA KEMEX, VINCRISTINA LKM 1",,,
vinflunina ditartrato,vinflunina ditartrato,2,JAVLOR,,,
"vit., minerales",minerales + vit.,2,"CAL C VITA, CAL C VITA FLUOR",,,
"vit.a, vit.c, vit.d",vit.a + vit.c + vit.d,2,"OSTELIN ACD, TRI VI SOL",,,
"vit.a, vit.c, vit.d, fl£or",fl£or + vit.a + vit.c + vit.d,2,"TRI VI FLUOR, VITASOL F",,,
"vit.d3, vit.a, vit.e, alantoin",alantoin + vit.a + vit.d3 + vit.e,2,"PERPIEL D3 CORPORAL, PERPIEL D3 FACIAL",,,
vit.e,vit.e,2,ETEC 1000,,,
vonoprazan,vonoprazan,2,VOZAMA,,,
vorasidenib,vorasidenib,2,VORANIGO,,,
"acetilsalicílico,ác., vit.c, v",ac. + acetilsalicilico + v + vit.c,1,CARDIAX,,,
agalsidasa alfa,agalsidasa alfa,1,REPLAGAL,,,
"alcanfor, bórico,ác., asoc.",ac. + alcanfor + asoc. + borico,1,PRURISEDAN,,,
"alcanfor, metilo,salicilato, a",a + alcanfor + metilo + salicilato,1,MEDEX INHALADOR,,,
alendronato,alendronato,1,MARVIL,"atc en disputa: {'M05BA': 2, 'M05BA04': 9}",,
alfa cetoanálogos de aminoácidos,alfa cetoanalogos de aminoacidos,1,KETOSTERIL,,,
alfa-1-antitripsina,alfa-1-antitripsina,1,PROLASTIN-C,,,
"aluminio,hidr., magn.hidr., si",aluminio + hidr. + magn.hidr. + si,1,MYLANTA II FRUTAL,,,
"aluminio,hidr., magnesio,hidr.",aluminio + hidr. + magnesio,1,MEGATRIC,,,
"aminoácidos, vit.b12",aminoacidos + vit.b12,1,POLPER B12 A.F.,,,
antigeno covid-19,antigeno covid-19,1,ARVAC,,,
asparaginasa,asparaginasa,1,SPECTRILA,,,
"atenolol, asoc.",asoc. + atenolol,1,PLENACOR D,,,
"atropina,sulfato",atropina + sulfato,1,ALCON ATROPINA 1%,,,
avelumab,avelumab,1,BAVENCIO,,,
aztreonam,aztreonam,1,AZTREONAM (L-ARGININA),,,
"azul de metileno, asoc.",asoc. + azul de metileno,1,MICTASOL AZUL,,,
beclometasona,beclometasona,1,RINOSOL,,,
belinostat,belinostat,1,BELEODAQ,,,
belumosudil,belumosudil,1,REZUROCK,,,
belzutifán,belzutifan,1,WELIREG,,,
"benzalconio,cloruro, lidocaína",benzalconio + cloruro + lidocaina,1,PERVINOX ANESTESICO,,,
"benzocaína, permetrina, bencilbenzoato",bencilbenzoato + benzocaina + permetrina,1,KINDERVAL MAX LOCIÀN,,,
"bepotastina,besilato",bepotastina + besilato,1,PROBENIL,,,
berotralstat,berotralstat,1,ORLADEYO,,,
betametasona (acet.y fosf.diso depocort retard,betametasona (acet.y fosf.diso depocort retard,1,F.A.X 1 X,,,
betametasona (acet.y fosf.diso metamar retard,betametasona (acet.y fosf.diso metamar retard,1,F.A.X 1 X,,,
betametasona (acet.y fosf.diso cronodicasone,betametasona (acet.y fosf.diso cronodicasone,1,F.A.X 1 X,,,
betametasona (acet.y fosf.diso betacort,betametasona (acet.y fosf.diso betacort,1,INY.A.X 1 X,,,
betametasona (diprop.y f.disod depocort crono,betametasona (diprop.y f.disod depocort crono,1,F.A.X 1 X,,,
betametasona (diprop.y f.disod cronodicasone depot,betametasona (diprop.y f.disod cronodicasone depot,1,F.A.X 1 X,,,
betametasona (diprop.y f.disod cronocorteroid,betametasona (diprop.y f.disod cronocorteroid,1,INY.A.X 1 X,,,
betametasona (diprop.y f.disod cronobetacort,betametasona (diprop.y f.disod cronobetacort,1,SUSP.INY.F.A.X 1 X,,,
betametasona (fosfato disódico dicasone,betametasona (fosfato disodico dicasone,1,GTS.X,,,
betametasona (fosfato disódico novocort,betametasona (fosfato disodico novocort,1,GTS.X,,,
"betametasona, gentamic., miconciprocort",betametasona + gentamic. + miconciprocort,1,CR.X,,,
"betametasona, gentamic., miconblamy",betametasona + gentamic. + miconblamy,1,CR.X,,,
"betametasona, gentamic., micondepocort biotic",betametasona + gentamic. + micondepocort biotic,1,CR.X,,,
"betametasona, gentamic.",betametasona + gentamic.,1,,,,
"betametasona, gentamic., micontribiocort",betametasona + gentamic. + micontribiocort,1,CR.X,,,
"betametasona, gentamic., micongentasol crema",betametasona + gentamic. + micongentasol crema,1,CR.X,,,
"betametasona, gentamic., miconhifamonil crema",betametasona + gentamic. + miconhifamonil crema,1,CR.X,,,
"betametasona, gentamic., miconcuta",betametasona + gentamic. + miconcuta,1,CR.X,,,
"betametasona, gentamic., miconlazar cort complex",betametasona + gentamic. + miconlazar cort complex,1,CR.X,,,
"betametasona, gentamic., miconderma 3",betametasona + gentamic. + miconderma 3,1,CR.X,,,
"betametasona, gentamic., miconmacril",betametasona + gentamic. + miconmacril,1,CR.X,,,
"betametasona, gentamicina, asogentacort plus",asogentacort plus + betametasona + gentamicina,1,CR.DÉRM.X,,,
"betametasona, gentamicina, asovitacortil",asovitacortil + betametasona + gentamicina,1,CR.X,,,
"betametasona, gentamicina, asocalmurid",asocalmurid + betametasona + gentamicina,1,CR.X,,,
"betametasona, gentamicina, asoquadriderm",asoquadriderm + betametasona + gentamicina,1,CR.X,,,
"betametasona, gentamicina, asobacticort complex",asobacticort complex + betametasona + gentamicina,1,CR.X,,,
bexaroteno,bexaroteno,1,IMPILO,,,
"bifonazol, asoc.",asoc. + bifonazol,1,U¥A LIBRE DE HONGOS,,,
"bifonazol, difenhidramina",bifonazol + difenhidramina,1,PIECIDEX NF POLVO,,,
binimetinib,binimetinib,1,MEKTOVI,,,
bleomicina,bleomicina,1,BLEOMICINA SULFATO IMA,"clases en disputa: {'Oncológicos y Terapias Relacionadas: Antibióticos Antineoplásicos': 1, 'Oncológicos y Terapias Relacionadas: Citostáticos Antineoplásicos': 1}",,
blinatumomab,blinatumomab,1,BLINCYTO,,,
brinzolamida,brinzolamida,1,BRINZOTEN,"atc en disputa: {'S01EC04': 1, 'S01EC54': 1}",,
busereline,busereline,1,SUPREFACT DEPOT,,,
"butamirato,citrato",butamirato + citrato,1,TALASA NF,,,
calcitriol,calcitriol,1,CALCITRIOL MEGALABS,"atc en disputa: {'A11CC04': 3, 'A11CC05': 5}",,
"camilofina, dipirona",camilofina + dipirona,1,APASMO,,,
"carbocisteína, dextrometorfano supritos",carbocisteina + dextrometorfano supritos,1,JBE.X,,,
carbomer,carbomer,1,XICRIM,"clases en disputa: {'Oftálmicos: Lubricantes Soluciones de Limpieza': 2, 'Oftálmicos: Lubricantes': 1}",,
carbomer 974 p,carbomer 974 p,1,LATLAS,,,
"carbomer 974 p, asoc.",asoc. + carbomer 974 p,1,LATLAS FRESH,,,
"carboximetilcisteína, dextrome mucolitic antitusivo",carboximetilcisteina + dextrome mucolitic antitusivo,1,JBE.X,,,
carmustina,carmustina,1,BODACLER 100 MG,,,
"cáscara sagrada, asoc.",asoc. + cascara sagrada,1,NATULAX PLUS,,,
cefalotina,cefalotina,1,CEFALOTINA RICHET (SAL SO1000 MG,,,
ciclobenzaprina,ciclobenzaprina,1,MITRUL,,,
"cinarizina, dimenhidrinatoarlevert",cinarizina + dimenhidrinatoarlevert,1,COMP.X 30,,,
cinitaprida,cinitaprida,1,CINITRAL NF,,,
"ciprofloxacina, dexametasona",ciprofloxacina + dexametasona,1,PROCALM,"clases en disputa: {'Oftálmicos: Antiinfecciosos\nOftálmicos: Antiinflamatorios no Esteroides': 2, 'Oftálmicos: Antiinfecciosos\nOftálmicos: Antiinflamatorios Antialérgicos': 10, 'Otorrinolaringológicos: Productos de Uso Otico': 1, 'Oftálmicos: Antiinfecciosos\nOftálmicos: Corticoesteroides': 2}",,
citisiniclina,citisiniclina,1,TINAIR,,,
"clindamicina, benzoílo,peróxid cp acne duo multidosis",benzoilo + clindamicina + peroxid cp acne duo multidosis,1,GEL DOSIF. SIMULT. X,,,
"clindamicina, benzoílo,peróxid duo clindacin",benzoilo + clindamicina + peroxid duo clindacin,1,GEL X,,,
"clindamicina, benzoílo,peróxid peroxiclin duo",benzoilo + clindamicina + peroxid peroxiclin duo,1,GEL X,,,
"clindamicina, benzoílo,peróxid clidan b",benzoilo + clindamicina + peroxid clidan b,1,GEL X,,,
"clindamicina, benzoílo,peróxid clindacur uno",benzoilo + clindamicina + peroxid clindacur uno,1,GEL X,,,
"clindamicina, xylitol, niacina",clindamicina + niacina + xylitol,1,CLIDAN LOCION,,,
clorambucilo,clorambucilo,1,LEUKERAN,,,
clormetina,clormetina,1,LEDAGA,,,
clotiapina,clotiapina,1,ETUMINA,,,
"clotrimazol, betametasona",betametasona + clotrimazol,1,MICOSEP B,,,
"coaltar, asoc.",asoc. + coaltar,1,MENCOGRIN A.P.,,,
"coaltar, salicílico,ác.",ac. + coaltar + salicilico,1,OILSOR,,,
cobimetinib,cobimetinib,1,COTELLIC TABLETS 20 MG,,,
"codeína, asoc.",asoc. + codeina,1,CODELASA,,,
"coenzima q10, asoc.",asoc. + coenzima q10,1,MARATHON ANTIOXIDANTE,,,
cynara scolymus,cynara scolymus,1,CHOFITOL,,,
dantroleno,dantroleno,1,DANTROCRIS,,,
darolutamida,darolutamida,1,NUBEQA,,,
decitabine,decitabine,1,CRIBINA,,,
"decualinio,cloruro",cloruro + decualinio,1,ETHOPIL OVULOS,,,
desflurano,desflurano,1,SUPRANE BAXTER,,,
deucravacitinib,deucravacitinib,1,SOTYKTU,,,
"dexametasona, nafazolina, asocnexadron plus",asocnexadron plus + dexametasona + nafazolina,1,GTS.X,,,
"dexametasona, neomicina, asoc.neosona 5",asoc.neosona 5 + dexametasona + neomicina,1,GTS.OFT.X,,,
"dexametasona, neomicina, asoc.neosona 100",asoc.neosona 100 + dexametasona + neomicina,1,GTS.OFT.X,,,
"dexametasona, neomicina, asoc.",asoc. + dexametasona + neomicina,1,GRIPABEN NASAL,,,
"dexametasona, neomicina, asoc.polyplex",asoc.polyplex + dexametasona + neomicina,1,SUSP.OFT.X,,,
"dexpantenol, asoc.",asoc. + dexpantenol,1,ADERMITRIN,,,
"diclofenac potásico, paracetam rodinac gesic",diclofenac potasico + paracetam rodinac gesic,1,COMP.REC.X 10,,,
"diclofenac sódico, codeína",codeina + diclofenac sodico,1,NOVO KLOSIDOL E-3,,,
"diclofenac sódico, misoprostol",diclofenac sodico + misoprostol,1,OXAPROST 75,,,
"diclofenac sódico, tobramicina",diclofenac sodico + tobramicina,1,TOBRATLAS,,,
"diflorasona, econazol, gentami filoderma plus",diflorasona + econazol + gentami filoderma plus,1,CR.X,,,
"diflorasona, econazol, gentami griseocrem nf",diflorasona + econazol + gentami griseocrem nf,1,POMO X,,,
"dihidroxiprogesterona, estradi",dihidroxiprogesterona + estradi,1,ATRIMON,,,
"dimeglumina,gadopentetato",dimeglumina + gadopentetato,1,GOBBILINIO,,,
dnasa humana recombinante,dnasa humana recombinante,1,PULMOZYME (DNASA),,,
"domperidona, bromazepam, simet",bromazepam + domperidona + simet,1,FARADIL NOVO,,,
dostarlimab,dostarlimab,1,JEMPERLI,,,
"dtap, ipv, hep.b, hib",dtap + hep.b + hib + ipv,1,HEXAXIM,,,
"efavirenz, emtricitabina, teno",efavirenz + emtricitabina + teno,1,TIALSUR PLUS,,,
eletriptán,eletriptan,1,RELPAX,,,
elosulfase alfa,elosulfase alfa,1,VIMIZIM,,,
"emtricitabina, tenofovir alaf.",emtricitabina + tenofovir alaf.,1,TRI-ZEVUVIR,,,
"emtricitabina, tenofovir alafe",emtricitabina + tenofovir alafe,1,ICELEA,,,
"emtricitabina, tenofovirdisopr",emtricitabina + tenofovirdisopr,1,TENOFOVIR EMTRICITABINA S,,,
epinastina,epinastina,1,EPIOFTAL,"clases en disputa: {'Oftálmicos: Antialérgicos Antihistamínicos': 1, 'Oftálmicos: Antiinflamatorios Antialérgicos': 1}",,
"ergotamina, cafeína, asoc.",asoc. + cafeina + ergotamina,1,MIGRA DIOXADOL,,,
eribulina,eribulina,1,ELEFIX,,,
"estetrol, drospirenona isis nat",drospirenona isis nat + estetrol,1,COMP.REC.X 28,,,
"estetrol, drospirenona destelle",drospirenona destelle + estetrol,1,,,,
estradiol,estradiol,1,PROGYNOVA,,,
estreptomicina,estreptomicina,1,ESTREPTOMICINA RICHET TP,,,
estreptoquinasa,estreptoquinasa,1,STREPTOFACTOR,,,
estreptozocina,estreptozocina,1,ZANOSAR,,,
"estroncio,ranel., calcio, vit.",calcio + estroncio + ranel. + vit.,1,OSTEOVITAL PLUS,,,
evogliptina,evogliptina,1,SUGANON,,,
evolocumab,evolocumab,1,REPATHA,,,
"ext. seco de ruscus, hesperidina",ext. seco de ruscus + hesperidina,1,CONTRACTIL,,,
extracto de ajo,extracto de ajo,1,LIMPSOR,,,
faricimab,faricimab,1,VABYSMO,,,
febuxostat,febuxostat,1,FEBUXTAT,,,
"fenilefrina, asoc.",asoc. + fenilefrina,1,ALZATEN DISGRELENT,,,
filgrastim peguilado,filgrastim peguilado,1,PEG NEUTROPINE PA,,,
fluorometolona,fluorometolona,1,F M L LIQUIFILM,,,
"fluorometolona, asoc.",asoc. + fluorometolona,1,F M L NEO LIQUIFILM,,,
"fólico,ác., asoc.",ac. + asoc. + folico,1,FOLAPORT,,,
fosfolípidos,fosfolipidos,1,LIPOVENOS 20% MCT-LCT,,,
fosfomicina trometamol,fosfomicina trometamol,1,FOSFOLEA,,,
fostemsavir,fostemsavir,1,RUKOBIA,,,
fremanezumab-vfrm,fremanezumab-vfrm,1,AJOVY,,,
gammaglobulina antitetánica,gammaglobulina antitetanica,1,GAMMATET T,,,
"gentamicina, clotrimazol, beta",beta + clotrimazol + gentamicina,1,METAMAR PLUS,,,
"glecaprevir, pibrentasvir",glecaprevir + pibrentasvir,1,MAVIRET,,,
glicerilguayacólico éter,glicerilguayacolico eter,1,VICK 44 EXP,,,
"glicerina, asoc.",asoc. + glicerina,1,GOTA PC PLUS,,,
glicopirrolato,glicopirrolato,1,ACPAN,,,
glicopirronio,glicopirronio,1,SEEBRI BREEZHALER,,,
"glicopirronio, formoterol,fuma",formoterol + fuma + glicopirronio,1,BEVESPI AEROSPHERE,,,
glicoproteina e de virus de va,glicoproteina e de virus de va,1,SHINGRIX,,,
"haemophilus influenzae b, dpt, antipolio",antipolio + dpt + haemophilus influenzae b,1,PENTAXIM,,,
"haemophilus influenz.b, dpt, a infanrix hexa",a infanrix hexa + dpt + haemophilus influenz.b,1,PVO.,,,
"hesperidina, asoc.",asoc. + hesperidina,1,CONTRACTIL COMPRIMIDOS MA,,,
"hexilresorcinol, asoc.",asoc. + hexilresorcinol,1,MEDEX PASTILLAS,,,
"hialuronato sódico, asoc.",asoc. + hialuronato sodico,1,CRUZAL L 20,,,
"hialurónico,ác.",ac. + hialuronico,1,MAXIOSTENIL TENDON,,,
"hidrocortisona, asoc.",asoc. + hidrocortisona,1,HIPOGLOS CON HIDROCORTISO,,,
"hierbas, miel",hierbas + miel,1,EXPECTOSAN HIERBAS Y MIEL,,,
hierro carboximaltosa ferinject,hierro carboximaltosa ferinject,1,,,,
"hierro,fumarato",fumarato + hierro,1,HEMOFER 330,,,
"hierro, fólico,ác., asoc.",ac. + asoc. + folico + hierro,1,VITALIX COMPLEX,,,
"homatropina,metilbr., simetico",homatropina + metilbr. + simetico,1,FACTOR AG ANTIESPASMODICO,,,
"hydrocotyle bonaerensis, asoc. sisairos",asoc. sisairos + hydrocotyle bonaerensis,1,CR.POTE X,,,
"ibuprofeno, pseudoefedrina",ibuprofeno + pseudoefedrina,1,IBUNASTIZOL,,,
idursulfasa,idursulfasa,1,ELAPRASE,,,
inclisiran,inclisiran,1,SYBRAVA,,,
"indacaterol, glicopirronio",glicopirronio + indacaterol,1,ULTIBRO BREEZHALER,,,
indapamida,indapamida,1,INDAPAMIDA DUREMID,"clases en disputa: {'Aparato Circulatorio: Antihipertensivos': 2, 'Aparato Genito-Urinario: Diuréticos': 2}",,
indinavir,indinavir,1,FORLI,,,
indocianina verde,indocianina verde,1,VERDYE,,,
inhibidor c1-esterasa,inhibidor c1-esterasa,1,BERINERT SC 2000,,,
inmunocianina,inmunocianina,1,IMMUCOTHEL,,,
"inmunogl.humana, hialuronidasahyqvia 30g",hialuronidasahyqvia 30g + inmunogl.humana,1,IgG f.a.x,,,
insaponificables,insaponificables,1,CLEDIUM,,,
insulina aspártica bifásica,insulina aspartica bifasica,1,INSULINA NOVOMIX 30 FLEXP,,,
insulina detemir,insulina detemir,1,INSULINA LEVEMIR FLEXPEN,,,
insulina glulisina,insulina glulisina,1,INSULINA APIDRA SOLOSTAR100UI/ML,,,
iodixanol,iodixanol,1,VISIPAQUE,,,
iodo povacrylex,iodo povacrylex,1,PERVINOX CAMPO QUIRURGICO,,,
iptacopan,iptacopan,1,FABHALTA,,,
isoconazol,isoconazol,1,MUPATEN,,,
"isoefedrina, asoc.",asoc. + isoefedrina,1,NASTIZOL COMPOSITUM,,,
isoproterenol,isoproterenol,1,ISOPROTERENOL GRAY,,,
ixabepilona,ixabepilona,1,IXEMPRA,,,
ixazomib,ixazomib,1,ZOXANE,,,
ixekizumab,ixekizumab,1,TALTZ,,,
"ketoconazol, asoc.",asoc. + ketoconazol,1,TIKL CHAMPU ANTICASPA,,,
"ketoconazol, hidrocort., genta",genta + hidrocort. + ketoconazol,1,MICOZOL COMPUESTO,,,
ketotifeno,ketotifeno,1,COLTIX ALERX,"atc en disputa: {'S01GX08': 4, 'R06AX17': 2} | clases en disputa: {'Oftálmicos: Antiinflamatorios Antialérgicos': 3, 'Oftálmicos: Antialérgicos Antihistamínicos': 1, 'Aparato Respiratorio: Antialérgicos Antihistamínicos\nAparato Respiratorio: Broncodilatadores Antiasmáticos': 2}",,
"levonorgestrel, estradiol",estradiol + levonorgestrel,1,CICLOCUR,,,
levosimendan,levosimendan,1,LEVOSIMENDAN RICHET LIOFI2.5 MG/ML,,,
"loteprednol,etabonato",etabonato + loteprednol,1,LOTEOFTAL,,,
lumateperona,lumateperona,1,NEURONOVO,,,
lurbinectedina,lurbinectedina,1,ZEPZELCA,,,
luspatercept,luspatercept,1,REBLOZYL,,,
maca (lipidium periuvianum),maca (lipidium periuvianum),1,GENERNIGHT,,,
"magnesio, ginseng, asoc.",asoc. + ginseng + magnesio,1,TOTAL MAGNESIANO GINSENG,,,
"meclizina,clorhidrato",clorhidrato + meclizina,1,ZENELIS MAREOS,,,
mefloquina,mefloquina,1,TROPICUR,,,
megestrol,megestrol,1,VARIGESTROL,,,
"mentol, alcanfor, asoc.",alcanfor + asoc. + mentol,1,VICK VAPORUB,,,
metirapona,metirapona,1,METOPIRONE,,,
"metoclopramida, asoc.",asoc. + metoclopramida,1,BITECAIN A.A.,,,
"metoclopramida, pancreatina, a",a + metoclopramida + pancreatina,1,BIL 13 ENZIMATICO,,,
"miconazol,nitr., óx.de zinc",miconazol + nitr. + ox.de zinc,1,HIPOGLOS MICO,,,
midodrine,midodrine,1,GUTRON,,,
mifamurtida,mifamurtida,1,MEPACT,,,
"mifepristona, misoprostol",mifepristona + misoprostol,1,MIFEP KIT,,,
milrinona,milrinona,1,MILRINONA BIOL,,,
mirvetuximab soravtansina,mirvetuximab soravtansina,1,ELAHERE,,,
mitotano,mitotano,1,LYSODREN,,,
mosunetuzumab,mosunetuzumab,1,LUNSUMIO,,,
"moxifloxacina, dexametasona clvigadexa",dexametasona clvigadexa + moxifloxacina,1,SOL.OFT.X,,,
"moxifloxacina, dexametasona fomoflag d",dexametasona fomoflag d + moxifloxacina,1,COLIRO X,,,
"moxifloxacina, dexametasona foquinomed dx",dexametasona foquinomed dx + moxifloxacina,1,SOL.OFT.X,,,
nafarelina,nafarelina,1,SYNRELIN,,,
"nafazolina, cromoglicato disód rinogel",cromoglicato disod rinogel + nafazolina,1,GEL NASAL X,,,
nandrolona,nandrolona,1,DECA-DURABOLIN,,,
neomicina,neomicina,1,NEOTRIL,,,
"netupitant, palonosetrón",netupitant + palonosetron,1,AKYNZEO,,,
nitroglicerina,nitroglicerina,1,NITRODOM,"atc en disputa: {'C01DA': 1, 'C01DA52': 1}",,
"nivolumab, relatlimab",nivolumab + relatlimab,1,OPDUALAG,,,
"nomegestrol,acetato, estradiol nomegestrol acetato",acetato + estradiol nomegestrol acetato + nomegestrol,1,ESTRA,,,
"nomegestrol acetato, estradiol",estradiol + nomegestrol acetato,1,FEMALVI,,,
noradrenalina,noradrenalina,1,NOREPINEFRINA GRAY,,,
noretisterona,noretisterona,1,PRIMOLUT NOR,,,
nusinersen,nusinersen,1,LIGONUX,,,
ofatumumab,ofatumumab,1,KESIMPTA,,,
"omeprazol, asoc.",asoc. + omeprazol,1,TREG,,,
paclitaxel alb£mina,paclitaxel alb£mina,1,TAYCOVIT A,,,
"pancuronio,bromuro",bromuro + pancuronio,1,BEMICIN,,,
panitumumab,panitumumab,1,VECTIBIX,,,
pantoprazol magnesico,pantoprazol magnesico,1,TECTA,"atc en disputa: {'A02BC': 2, 'A02BC02': 3} | clases en disputa: {'Aparato Digestivo: Antiulcerosos': 3, 'Aparato Digestivo: Antiácidos': 2}",,
"peg 3350, bisacodilo",bisacodilo + peg 3350,1,BAREX KIT,,,
pegcetacoplan,pegcetacoplan,1,EMPAVELI,,,
pentamidina,pentamidina,1,PENTAMIDINA LUAR,,,
"piroxicam, carisoprodol",carisoprodol + piroxicam,1,FLEXICAMIN,,,
"piroxicam, vit.b12",piroxicam + vit.b12,1,BUTA RUT B12,,,
"plántago ovata, cassia angusti agiolax",cassia angusti agiolax + plantago ovata,1,ENV.X,,,
"polietilenglicol, propilenglic",polietilenglicol + propilenglic,1,SYSTANE GEL EN GOTAS,,,
polisacáridos meningocócicos a-c-y-w135,polisacaridos meningococicos a-c-y-w135,1,MENQUADFI,,,
polisacáridos de streptococcus pneumoniae,polisacaridos de streptococcus pneumoniae,1,VAXNEUVANCE,,,
polisacáridos de s.pneumoniae prevenar 20,polisacaridos de s.pneumoniae prevenar 20,1,JGA.PRELL.X 1 X,,,
"polisacaridosulf£rico,ác.(éste",ac.(este + polisacaridosulf£rico,1,PERGALEN NF,,,
pralatrexato,pralatrexato,1,EPIXTIE,,,
